model,total_params,batch_size,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,throughput,gpu_peak_mb
Vanilla ViT,6284297,1,12.66482333330714,0.8266496362643738,12.684399999670859,13.996000000588538,15.795799999978044,78.95885901306703,nan
Vanilla ViT,6284297,2,22.2586433333466,1.5397866740436543,22.19729999978881,25.609199999962584,27.945599999839033,89.85273585851105,nan
Vanilla ViT,6284297,4,33.70797666669508,3.2727953166792725,33.08500000002823,40.54100000030303,47.20610000003944,118.66627414490205,nan
Vanilla ViT,6284297,8,57.0237033334403,3.1566343816620495,56.137000000489934,63.02030000006198,65.63529999948514,140.29253682842753,nan
Vanilla ViT,6284297,16,112.4586433334116,5.345309323300548,112.404599999536,121.05309999969904,122.89299999974901,142.27452444507998,nan
Vanilla ViT,6284297,32,271.390339999986,62.86914498022959,240.33529999996972,448.3409999993455,455.28379999996105,117.91134496534272,nan
Shared ViT,2335497,1,12.879149999874548,1.883290191909714,12.749499999699765,16.14230000086536,16.294500000185508,77.64487563307678,nan
Shared ViT,2335497,2,21.503846666685906,1.4222378661035442,21.791600000142353,23.784799999702955,24.218999999902735,93.0066155604816,nan
Shared ViT,2335497,4,46.4879633333112,10.097246088432094,42.35729999982141,65.81279999954859,76.29389999965497,86.04377807047914,nan
Shared ViT,2335497,8,66.71686000005745,8.407865240528082,65.06869999975606,86.15509999981441,86.82099999987258,119.90971997172996,nan
Shared ViT,2335497,16,124.58773666664153,23.850512649856146,110.96120000001974,183.84009999954287,188.04029999955674,128.42355458154825,nan
Shared ViT,2335497,32,325.1322833333082,20.85750916673396,325.16320000013366,362.0410000003176,368.75529999997525,98.42147839621117,nan
Stem-only ViT,6369321,1,22.571526666736947,2.5918835282396633,22.33940000041912,26.98289999989356,27.8481000004831,44.303604925123345,nan
Stem-only ViT,6369321,2,32.37345333336634,3.251296653775261,31.756399999721907,37.771999999677064,39.60519999964163,61.77901317492936,nan
Stem-only ViT,6369321,4,59.796283333253086,7.047801908941643,59.10279999989143,73.86630000019068,82.98140000079002,66.89378966427459,nan
Stem-only ViT,6369321,8,104.27438333332854,10.373508145949978,102.47920000074373,129.12280000000464,131.5228000003117,76.72066469505566,nan
Stem-only ViT,6369321,16,202.45430999999977,16.74916229933559,200.3685999998197,229.41329999957816,232.07449999972596,79.0301772286301,nan
Stem-only ViT,6369321,32,327.1858333333209,15.624970707328036,326.4500000004773,348.69679999974323,359.01489999923797,97.80374557782265,nan
RSP-ViT,2420521,1,21.88629666664686,3.1459302382170016,21.56379999996716,29.21740000056161,30.23269999994227,45.6906901716236,nan
RSP-ViT,2420521,2,30.937886666591414,3.0174355608562013,31.379599999127095,35.17000000010739,36.049199999979464,64.64565668474441,nan
RSP-ViT,2420521,4,52.41988000004009,7.615445601245446,49.935500000174216,67.98900000012509,72.08669999999984,76.30692782961238,nan
RSP-ViT,2420521,8,91.02380000003905,10.09707878829405,92.93049999996583,106.53240000010555,122.8744000000006,87.88910153164962,nan
RSP-ViT,2420521,16,168.67755666668623,19.691557474284497,169.40230000000156,206.68550000027608,207.20210000035877,94.85553571075644,nan
RSP-ViT,2420521,32,353.1058899999759,54.93575297780059,342.7962000005209,465.0188000005073,533.7977999997747,90.6243733289246,nan
